district_name,county,district_rating_2018,district_rating_2019,district_rating_avg, 2016 CERTIFIED TAXABLE VALUE , 2016 AVG MARKET VALUE ,2016 ISD TAX RATE, 2016 AVG TAX/PROPERTY ,2017 CERTIFIED TAXABLE VALUE,2017 AVG MARKET VALUE,2017 ISD TAX RATE,2017 AVG TAX/PROPERTY,2018 CERTIFIED TAXABLE VALUE,2018 AVG MARKET VALUE,2018 ISD TAX RATE,2018 AVG TAX/PROPERTY,2019 CERTIFIED TAXABLE VALUE,2019 AVG MARKET VALUE,2019 ISD TAX RATE,2019 AVG TAX/PROPERTY,2020 ESTIMATE OF TAXABLE VALUE,2020 AVG MARKET VALUE,2020 ISD TAX RATE,2020 AVG TAX/PROPERTY
Aledo ISD,Tarrant,A,A,A,"2,801,213,966.00","443,687.00",0.01595,"7,076.81",3233804397,452629,0.01595,7219.43255,3511183539,459829,0.01595,7334.27255,4138531764,495499,0.014933,7399.286567,4289395592,490579,0.014797,7259.097463
Allen ISD,Collin,A,A,A,"11,269,478,262.00","307,000.00",0.0159,"4,881.30",12631213594,336000,0.0159,5342.4,14056159659,358400,0.0155,5555.2,15203740934,373468,0.014589,5448.524652,16000000000,371000,0.014325,5314.575
Anna ISD,Collin,C,B,B/C,"873,125,674.00","163,000.00",0.0167,"2,722.10",1072845635,190000,0.0167,3173,1334814793,215300,0.0167,3595.51,1551389903,234271,0.0156835,3674.189229,1685000000,239000,0.014746,3524.294
ARGYLE ISD,Denton,A,A,A,"1,522,885,752.00","427,365.00",0.0157,"6,709.84",1797675755,442185,0.0158505,7008.853343,2117302043,474576,0.0158505,7522.266888,2444932358,480208,0.01508,7241.53664,2795959812,496433,0.014187,7042.894971
Arlington ISD,Tarrant,C,B,B/C,"23,663,689,942.00","156,836.00",0.0139,"2,180.15",25860117566,174311,0.0136867,2385.742364,28394035776,187204,0.0136867,2562.204987,31895313003,210751,0.0129867,2736.960012,33177508553,209132,0.013871,2900.869972
AUBREY ISD,Denton,B,A,A/B,"829,568,400.00","204,580.00",0.0151,"3,089.16",966347927,225863,0.0151,3410.5313,1049436496,241092,0.0159,3833.3628,1185617076,255287,0.0156835,4003.793665,1332791287,268222,0.015087,4046.665314
Azle ISD,Tarrant,B,B,B,"2,452,854,874.00","161,428.00",0.01203,"1,941.98",2625686995,179559,0.01329,2386.33911,2863135064,188683,0.01329,2507.59707,3243969761,211373,0.0124735,2636.561116,3388287778,212215,0.012474,2647.16991
Birdville ISD,Tarrant,B,B,B,"8,502,481,859.00","154,497.00",0.01454,"2,246.23",9376091252,173010,0.014539,2515.39239,10191382861,186858,0.014539,2716.728462,11287704723,209462,0.013839,2898.744618,11892591862,210542,0.013803,2906.111226
Bland ISD,Collin,A,A,A,"10,704,420.00","139,000.00",0.01488,"2,068.32",10883500,163000,0.014271,2326.173,12393707,192200,0.01364,2621.608,15498629,202653,0.0131,2654.7543,18500000,215000,0.011527,2478.305
Blue Ridge ISD,Collin,B,A,A/B,"165,247,505.00","106,000.00",0.01571,"1,665.26",208448105,151000,0.0157149,2372.9499,246325543,178300,0.0157149,2801.96667,302788316,205297,0.0156835,3219.7755,318000000,223000,0.01524,3398.52
Burleson ISD,Tarrant,B,B,B,"3,902,405,571.00","167,781.00",0.0154,"2,583.83",4302128192,184499,0.0167,3081.1333,4713537132,199691,0.0167,3334.8397,5215547446,220617,0.0156835,3460.04672,5551468175,220883,0.015383,3397.843189
Carroll ISD,Tarrant,A,A,A,"7,162,478,978.00","642,263.00",0.0139,"8,927.46",7866650025,681080,0.01385,9432.958,8488767084,718235,0.0138,9911.643,9127899790,761199,0.013,9895.587,9357803308,755613,0.012864,9720.205632
CARROLLTON-FARMERS BRANCH ISD,Denton,B,B,B,"16,591,930,453.00","211,175.00",0.01392,"2,939.56",17892844975,229249,0.01381,3165.92869,19361103872,247645,0.0137,3392.7365,23205400784,259045,0.0126835,3285.597258,25095294134,263063,0.012547,3300.651461
Castleberry ISD,Tarrant,C,B,B/C,"570,030,520.00","85,200.00",0.01377,"1,172.86",647440557,96236,0.013922,1339.797592,769553924,112011,0.013922,1559.417142,908801153,139584,0.0129055,1801.401312,986064462,146788,0.012413,1822.079444
